pop,W,w0,w1,n_units,is_stationary,cv,drift,pv,cv2,vr,nwin,flags
CA1,300.0,1500.0,1800.0,10,True,0.0,0.0,1.0,,1.0,10,
CA1,300.0,1800.0,2100.0,10,True,0.0,0.0,1.0,,1.0,10,
CA1,300.0,2100.0,2400.0,10,True,0.0,0.0,1.0,,1.0,10,
CA1,300.0,2400.0,2700.0,10,True,0.0,0.0,1.0,,1.0,10,
CA1,300.0,2700.0,3000.0,10,True,0.0,0.0,1.0,,1.0,10,
CA1,300.0,3000.0,3300.0,10,True,0.0,0.0,1.0,,1.0,10,
CA1,300.0,3300.0,3600.0,10,True,0.0,0.0,1.0,,1.0,10,
CA1,300.0,3600.0,3900.0,10,False,0.49242790330319414,0.0019555555555555567,0.28713994571880863,0.8940833163530271,6.652036088758841,10,population_rate_cv=0.492 > 0.3;rolling_var_ratio=6.65 > 3.0
CA1,300.0,3900.0,4200.0,10,False,0.6487570744286321,0.061622222222222224,0.014119416021371886,0.688062888323681,68.82256779721025,10,population_rate_cv=0.649 > 0.3;rolling_var_ratio=68.82 > 3.0
CA1,300.0,4200.0,4500.0,10,False,0.6335199777904353,0.007745454545454546,0.0038183110406383564,0.5997312417323711,8.314544392523368,10,population_rate_cv=0.634 > 0.3;rate_drift p=0.00382 < 0.01 (slope=0.00775 Hz/s);rolling_var_ratio=8.31 > 3.0
CA1,300.0,4500.0,4800.0,10,False,3.162277660168379,-0.0029090909090909098,0.12150291881711295,0.6284858119752499,1.0,10,population_rate_cv=3.162 > 0.3
CA1,300.0,4800.0,5100.0,10,True,0.0,0.0,1.0,,1.0,10,
CA1,600.0,0.0,600.0,10,True,0.0,0.0,1.0,,1.0,20,
CA1,600.0,600.0,1200.0,10,True,0.0,0.0,1.0,,1.0,20,
CA1,600.0,1200.0,1800.0,10,True,0.0,0.0,1.0,,1.0,20,
CA1,600.0,1800.0,2400.0,10,True,0.0,0.0,1.0,,1.0,20,
CA1,600.0,2400.0,3000.0,10,True,0.0,0.0,1.0,,1.0,20,
CA1,600.0,3000.0,3600.0,10,True,0.0,0.0,1.0,,1.0,20,
CA1,600.0,3600.0,4200.0,10,False,1.1990438537503338,0.03463350041771095,1.2797584183836875e-05,0.7109540469936083,1896.086076566692,20,population_rate_cv=1.199 > 0.3;rate_drift p=1.28e-05 < 0.01 (slope=0.0346 Hz/s);rolling_var_ratio=1896.09 > 3.0
CA1,600.0,4200.0,4800.0,10,False,1.2143587729133452,-0.002400835421888054,0.040040131513439506,0.599361589544835,18.545560747663554,20,population_rate_cv=1.214 > 0.3;rolling_var_ratio=18.55 > 3.0
CA1,1200.0,0.0,1200.0,10,True,0.0,0.0,1.0,,1.0,40,
CA1,1200.0,1200.0,2400.0,10,True,0.0,0.0,1.0,,1.0,40,
CA1,1200.0,2400.0,3600.0,10,True,0.0,0.0,1.0,,1.0,40,
CA1,1200.0,3600.0,4800.0,10,False,1.7020994112271481,-0.0029101000625390873,0.2946334235574703,0.7051550211578523,2270.983936915889,40,population_rate_cv=1.702 > 0.3;rolling_var_ratio=2270.98 > 3.0
DG,300.0,0.0,300.0,10,True,0.0,0.0,1.0,,1.0,10,
DG,300.0,300.0,600.0,10,True,0.0,0.0,1.0,,1.0,10,
DG,300.0,600.0,900.0,10,True,0.0,0.0,1.0,,1.0,10,
DG,300.0,900.0,1200.0,10,True,0.0,0.0,1.0,,1.0,10,
DG,300.0,1200.0,1500.0,10,True,0.0,0.0,1.0,,1.0,10,
DG,300.0,1500.0,1800.0,10,True,0.0,0.0,1.0,,1.0,10,
DG,300.0,1800.0,2100.0,10,True,0.0,0.0,1.0,,1.0,10,
DG,300.0,2100.0,2400.0,10,True,0.0,0.0,1.0,,1.0,10,
DG,300.0,2400.0,2700.0,10,True,0.0,0.0,1.0,,1.0,10,
DG,300.0,2700.0,3000.0,10,True,0.0,0.0,1.0,,1.0,10,
DG,300.0,3000.0,3300.0,10,True,0.0,0.0,1.0,,1.0,10,
DG,300.0,3300.0,3600.0,10,True,0.0,0.0,1.0,,1.0,10,
DG,300.0,3600.0,3900.0,10,True,0.0,0.0,1.0,,1.0,10,
DG,300.0,3900.0,4200.0,10,True,0.0,0.0,1.0,,1.0,10,
